SoortMisdrijf,RegioS,Perioden,Unnamed: 0,ID,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
Bedrog,Drenthe (PV),2010,140536,140536,1730.0,6.0,3.5,760.0,157.7,980.0
Bedrog,Drenthe (PV),2011,140540,140540,1485.0,6.0,3.0,585.0,195.89999999999998,710.0
Bedrog,Drenthe (PV),2012,140544,140544,1775.0,7.0,3.5,660.0,174.6,825.0
Bedrog,Drenthe (PV),2013,140548,140548,1290.0,6.0,2.6,440.0,189.6,520.0
Bedrog,Drenthe (PV),2014,140552,140552,1185.0,6.0,2.4,330.0,116.6,450.0
Bedrog,Drenthe (PV),2015,140556,140556,2175.0,10.0,4.300000000000001,300.0,135.7,470.0
Bedrog,Drenthe (PV),2016,140560,140560,2500.0,14.0,5.1000000000000005,160.0,59.6,590.0
Bedrog,Drenthe (PV),2017,140564,140564,2160.0,13.0,4.300000000000001,125.0,32.2,155.0
Bedrog,Drenthe (PV),2018,140568,140568,2280.0,14.0,4.5,90.0,14.3,140.0
Bedrog,Drenthe (PV),2019,140572,140572,2890.0,16.0,5.699999999999999,80.0,18.8,120.0
Bedrog,Drenthe (PV),2020,140576,140576,3300.0,18.0,6.5,50.0,14.4,110.0
Bedrog,Flevoland (PV),2010,140624,140624,1180.0,4.0,3.0,390.0,65.9,550.0
Bedrog,Flevoland (PV),2011,140628,140628,955.0,4.0,2.4,230.0,48.599999999999994,305.0
Bedrog,Flevoland (PV),2012,140632,140632,1075.0,4.0,2.7,340.0,137.4,380.0
Bedrog,Flevoland (PV),2013,140636,140636,1015.0,4.0,2.6,330.0,65.30000000000001,475.0
Bedrog,Flevoland (PV),2014,140640,140640,845.0,4.0,2.1,205.0,123.3,280.0
Bedrog,Flevoland (PV),2015,140644,140644,1990.0,9.0,4.9,125.0,40.3,145.0
Bedrog,Flevoland (PV),2016,140648,140648,2370.0,11.0,5.699999999999999,75.0,37.0,110.0
Bedrog,Flevoland (PV),2017,140652,140652,1950.0,10.0,4.699999999999999,80.0,38.5,90.0
Bedrog,Flevoland (PV),2018,140656,140656,2215.0,12.0,5.300000000000001,90.0,42.5,110.0
Bedrog,Flevoland (PV),2019,140660,140660,2690.0,14.0,6.300000000000001,65.0,29.9,90.0
Bedrog,Flevoland (PV),2020,140664,140664,3520.0,18.0,8.3,65.0,20.6,150.0
Bedrog,Fryslân (PV),2010,140492,140492,2260.0,7.0,3.5,1035.0,176.8,1130.0
Bedrog,Fryslân (PV),2011,140496,140496,1670.0,6.0,2.6,600.0,135.8,620.0
Bedrog,Fryslân (PV),2012,140500,140500,1895.0,6.0,2.9,650.0,132.6,730.0
Bedrog,Fryslân (PV),2013,140504,140504,1370.0,4.0,2.1,520.0,152.6,580.0
Bedrog,Fryslân (PV),2014,140508,140508,1310.0,4.0,2.0,400.0,159.8,480.0
