SoortMisdrijf,RegioS,Perioden,GeregistreerdeMisdrijvenRelatief_2
Bedrog,'s-Gravenhage (gemeente),2015.0,1.4545
Bedrog,'s-Hertogenbosch,2015.0,1.4545
Bedrog,Aa en Hunze,2015.0,3.5227
Bedrog,Aalburg,2015.0,2.8333
Bedrog,Aalsmeer,2015.0,2.8409
Bedrog,Aalten,2015.0,4.5455
Bedrog,Abcoude,2015.0,1.0
Bedrog,Achtkarspelen,2015.0,3.4091
Bedrog,Alblasserdam,2015.0,2.2727
Bedrog,Albrandswaard,2015.0,2.0682
Bedrog,Alkmaar,2015.0,1.6364
Bedrog,Almelo,2015.0,2.4545
Bedrog,Alphen aan den Rijn,2015.0,2.4318
Bedrog,Alphen-Chaam,2015.0,2.2955
Bedrog,Altena,2015.0,4.375
Bedrog,Ameland,2015.0,2.4091
Bedrog,Amersfoort,2015.0,2.0
Bedrog,Amstelveen,2015.0,2.1136
Bedrog,Amsterdam,2015.0,1.4318
Bedrog,Andijk,2015.0,1.5
Bedrog,Anna Paulowna,2015.0,1.5
Bedrog,Appingedam,2015.0,2.4318
Bedrog,Arnhem,2015.0,1.5455
Bedrog,Assen,2015.0,2.1136
Bedrog,Asten,2015.0,2.0227
Bedrog,Baarle-Nassau,2015.0,2.2955
Bedrog,Baarn,2015.0,1.7273
Bedrog,Bedum,2015.0,3.4722
Bedrog,Beek (L.),2015.0,1.6136
Bedrog,Beekdaelen,2015.0,5.75
Bedrog,Beemster,2015.0,2.2955
Bedrog,Beesel,2015.0,2.7727
Bedrog,Bellingwedde,2015.0,3.2188
Bedrog,Berg en Dal,2015.0,4.5
Bedrog,Bergambacht,2015.0,1.6
Bedrog,Bergeijk,2015.0,2.3182
Bedrog,Bergen (L.),2015.0,2.9091
Bedrog,Bergen (NH.),2015.0,2.5
Bedrog,Bergen op Zoom,2015.0,1.6136
Bedrog,Berkelland,2015.0,3.2045
Bedrog,Bernheze,2015.0,2.4091
Bedrog,Bernisse,2015.0,0.75
Bedrog,Best,2015.0,2.0227
Bedrog,Beuningen,2015.0,2.5227
Bedrog,Beverwijk,2015.0,1.9773
Bedrog,Binnenmaas,2015.0,2.5278
Bedrog,Bladel,2015.0,2.4091
Bedrog,Blaricum,2015.0,2.0682
Bedrog,Bloemendaal,2015.0,2.0
Bedrog,Boarnsterhim,2015.0,1.9375
Bedrog,Bodegraven,2015.0,1.0
Bedrog,Boekel,2015.0,3.0682
Bedrog,Bolsward,2015.0,1.5
Bedrog,Borger-Odoorn,2015.0,4.0227
Bedrog,Borne,2015.0,3.1136
Bedrog,Borsele,2015.0,3.8864
Bedrog,Boskoop,2015.0,1.0
Bedrog,Boxmeer,2015.0,2.4091
Bedrog,Boxtel,2015.0,1.7955
Bedrog,Brielle,2015.0,2.0682
Bedrog,Bronckhorst,2015.0,3.7045
Bedrog,Brummen,2015.0,3.0227
Bedrog,Brunssum,2015.0,1.8864
Bedrog,Bunnik,2015.0,2.8636
Bedrog,Bunschoten,2015.0,2.3864
Bedrog,Bussum,2015.0,1.0833
Bedrog,Capelle aan den IJssel,2015.0,1.9318
Bedrog,Castricum,2015.0,2.5682
Bedrog,Coevorden,2015.0,2.3409
Bedrog,Cranendonck,2015.0,2.1364
Bedrog,Cromstrijen,2015.0,1.8056
Bedrog,Cuijk,2015.0,2.4091
Bedrog,Culemborg,2015.0,2.1364
Bedrog,Dalfsen,2015.0,4.8409
Bedrog,Dantumadiel,2015.0,4.5455
Bedrog,De Bilt,2015.0,2.25
Bedrog,De Marne,2015.0,2.9722
Bedrog,De Ronde Venen,2015.0,2.5
Bedrog,Delft,2015.0,1.8636
Bedrog,Delfzijl,2015.0,2.4773
Bedrog,Deurne,2015.0,2.2273
Bedrog,Deventer,2015.0,2.0909
Bedrog,Diemen,2015.0,2.4318
Bedrog,Dinkelland,2015.0,3.75
Bedrog,Dirksland,2015.0,1.0
Bedrog,Doesburg,2015.0,2.2045
Bedrog,Doetinchem,2015.0,2.1818
Bedrog,Dongen,2015.0,2.6364
Bedrog,Dongeradeel,2015.0,3.0278
Bedrog,Drimmelen,2015.0,2.4091
Bedrog,Dronten,2015.0,2.3182
Bedrog,Druten,2015.0,2.7045
Bedrog,Duiven,2015.0,2.6591
Bedrog,Edam-Volendam,2015.0,3.0
Bedrog,Ede,2015.0,2.1136
Bedrog,Eemnes,2015.0,2.8636
Bedrog,Eemsmond,2015.0,2.3611
Bedrog,Eersel,2015.0,2.0909
Bedrog,Eijsden,2015.0,1.0
Bedrog,Eijsden-Margraten,2015.0,2.375
Bedrog,Eindhoven,2015.0,1.2955
Bedrog,Elburg,2015.0,3.0227
Bedrog,Emmen,2015.0,2.4318
Bedrog,Enkhuizen,2015.0,1.9545
Bedrog,Enschede,2015.0,1.6136
Bedrog,Epe,2015.0,2.5455
Bedrog,Ermelo,2015.0,2.2045
Bedrog,Etten-Leur,2015.0,2.0455
Bedrog,Ferwerderadiel,2015.0,4.3611
Bedrog,Franekeradeel,2015.0,2.3438
Bedrog,Gaasterlân-Sleat,2015.0,1.25
Bedrog,Geertruidenberg,2015.0,2.1136
Bedrog,Gemert-Bakel,2015.0,2.2045
Bedrog,Gennep,2015.0,2.75
Bedrog,Giessenlanden,2015.0,2.4444
Bedrog,Gilze en Rijen,2015.0,1.9091
Bedrog,Goes,2015.0,2.1818
Bedrog,Goirle,2015.0,2.5682
Bedrog,Gorinchem,2015.0,2.0455
Bedrog,Gouda,2015.0,1.5
Bedrog,Graafstroom,2015.0,1.0
Bedrog,Graft-De Rijp,2015.0,0.9
Bedrog,Grave,2015.0,2.4091
Bedrog,Groesbeek,2015.0,1.3333
Bedrog,Groningen (gemeente),2015.0,1.8864
Bedrog,Grootegast,2015.0,3.4167
Bedrog,Gulpen-Wittem,2015.0,2.4318
Bedrog,Haaksbergen,2015.0,3.25
Bedrog,Haarlem,2015.0,1.9773
Bedrog,Haarlemmerliede en Spaarnwoude,2015.0,1.5278
Bedrog,Haarlemmermeer,2015.0,1.7727
Bedrog,Hardenberg,2015.0,2.9773
Bedrog,Harderwijk,2015.0,2.2955
Bedrog,Harlingen,2015.0,2.5
Bedrog,Hattem,2015.0,3.1591
Bedrog,Heemskerk,2015.0,2.6136
Bedrog,Heemstede,2015.0,2.2273
Bedrog,Heerde,2015.0,3.0455
Bedrog,Heerhugowaard,2015.0,2.3409
Bedrog,Heerlen,2015.0,1.5682
Bedrog,Heeze-Leende,2015.0,2.6136
Bedrog,Heiloo,2015.0,2.5455
Bedrog,Hellendoorn,2015.0,4.2273
Bedrog,Hellevoetsluis,2015.0,2.2045
Bedrog,Helmond,2015.0,1.5682
Bedrog,Hendrik-Ido-Ambacht,2015.0,2.1818
Bedrog,Hengelo (O.),2015.0,2.1818
Bedrog,Het Hogeland,2015.0,5.25
Bedrog,Heumen,2015.0,2.0909
Bedrog,Heusden,2015.0,2.6818
Bedrog,Hillegom,2015.0,2.5455
Bedrog,Hilversum,2015.0,1.7727
Bedrog,Hoeksche Waard,2015.0,5.75
Bedrog,Hof van Twente,2015.0,2.7955
Bedrog,Hollands Kroon,2015.0,4.0
Bedrog,Hoogeveen,2015.0,2.2955
Bedrog,Hoogezand-Sappemeer,2015.0,1.7188
Bedrog,Hoorn,2015.0,1.8409
Bedrog,Horst aan de Maas,2015.0,2.4091
Bedrog,Houten,2015.0,2.3182
Bedrog,Huizen,2015.0,2.25
Bedrog,Hulst,2015.0,2.8636
Bedrog,IJsselstein,2015.0,2.2727
Bedrog,Kaag en Braassem,2015.0,2.8182
Bedrog,Kampen,2015.0,3.0227
Bedrog,Kapelle,2015.0,3.0455
Bedrog,Katwijk,2015.0,2.6136
Bedrog,Kerkrade,2015.0,1.5682
Bedrog,Koggenland,2015.0,2.3409
Bedrog,Kollumerland en Nieuwkruisland,2015.0,3.25
Bedrog,Krimpen aan den IJssel,2015.0,2.9545
Bedrog,Krimpenerwaard,2015.0,4.125
Bedrog,Laarbeek,2015.0,2.4773
Bedrog,Landerd,2015.0,2.3864
Bedrog,Landgraaf,2015.0,1.8636
Bedrog,Landsmeer,2015.0,2.1136
Bedrog,Langedijk,2015.0,2.7727
Bedrog,Lansingerland,2015.0,2.3409
Bedrog,Leek,2015.0,2.3889
Bedrog,Leerdam,2015.0,2.25
Bedrog,Leeuwarden,2015.0,1.9545
Bedrog,Leeuwarderadeel,2015.0,3.1562
Bedrog,Leiden,2015.0,1.7727
Bedrog,Leiderdorp,2015.0,2.6136
Bedrog,Leidschendam-Voorburg,2015.0,2.3182
Bedrog,Lelystad,2015.0,1.9773
Bedrog,Lemsterland,2015.0,1.875
Bedrog,Leudal,2015.0,2.6136
Bedrog,Leusden,2015.0,2.9091
Bedrog,Lingewaal,2015.0,2.5
Bedrog,Lingewaard,2015.0,3.5682
Bedrog,Lisse,2015.0,2.3182
Bedrog,Lith,2015.0,1.25
Bedrog,Littenseradiel,2015.0,3.8125
Bedrog,Lochem,2015.0,2.7273
Bedrog,Loenen,2015.0,1.0
Bedrog,Loon op Zand,2015.0,1.6364
Bedrog,Lopik,2015.0,3.3636
Bedrog,Loppersum,2015.0,3.8409
Bedrog,Losser,2015.0,3.2273
Bedrog,Maarssen,2015.0,1.0
Bedrog,Maasdonk,2015.0,1.4
Bedrog,Maasdriel,2015.0,2.4773
Bedrog,Maasgouw,2015.0,2.5
Bedrog,Maassluis,2015.0,2.0455
Bedrog,Maastricht,2015.0,1.1818
Bedrog,Margraten,2015.0,1.25
Bedrog,Marum,2015.0,2.7778
Bedrog,Medemblik,2015.0,2.8182
Bedrog,Meerssen,2015.0,2.5909
Bedrog,Meierijstad,2015.0,3.5
Bedrog,Menameradiel,2015.0,3.3571
Bedrog,Meppel,2015.0,2.7273
Bedrog,Middelburg (Z.),2015.0,2.0455
Bedrog,Middelharnis,2015.0,1.0
Bedrog,Midden-Delfland,2015.0,2.7045
Bedrog,Midden-Groningen,2015.0,4.0
Bedrog,Mill en Sint Hubert,2015.0,3.4318
Bedrog,Millingen aan de Rijn,2015.0,1.6
Bedrog,Moerdijk,2015.0,2.1364
Bedrog,Molenlanden,2015.0,6.625
Bedrog,Molenwaard,2015.0,4.25
Bedrog,Montferland,2015.0,2.8864
Bedrog,Montfoort,2015.0,3.4545
Bedrog,Mook en Middelaar,2015.0,2.3864
Bedrog,Muiden,2015.0,0.75
Bedrog,Naarden,2015.0,1.25
Bedrog,Neder-Betuwe,2015.0,2.5909
Bedrog,Nederlek,2015.0,1.5
Bedrog,Nederweert,2015.0,3.0455
Bedrog,Neerijnen,2015.0,2.4167
Bedrog,Niedorp,2015.0,1.0
Bedrog,Nieuw-Lekkerland,2015.0,1.0
Bedrog,Nieuwegein,2015.0,1.5455
Bedrog,Nieuwkoop,2015.0,3.3864
Bedrog,Nijefurd,2015.0,1.5
Bedrog,Nijkerk,2015.0,2.8182
Bedrog,Nijmegen,2015.0,1.7727
Bedrog,Nissewaard,2015.0,2.7917
Bedrog,Noardeast-Fryslân,2015.0,5.875
Bedrog,Noord-Beveland,2015.0,2.2727
Bedrog,Noordwijk,2015.0,1.7727
Bedrog,Noordwijkerhout,2015.0,2.4444
Bedrog,"Nuenen, Gerwen en Nederwetten",2015.0,2.3409
Bedrog,Nunspeet,2015.0,2.5
Bedrog,Nuth,2015.0,2.0278
Bedrog,Oegstgeest,2015.0,3.0227
Bedrog,Oirschot,2015.0,2.2273
Bedrog,Oisterwijk,2015.0,2.1364
Bedrog,Olst-Wijhe,2015.0,4.3864
Bedrog,Ommen,2015.0,2.9091
Bedrog,Onderbanken,2015.0,1.8333
Bedrog,Oosterhout,2015.0,1.8864
Bedrog,Oostflakkee,2015.0,0.75
Bedrog,Ooststellingwerf,2015.0,3.2273
Bedrog,Oostzaan,2015.0,1.9318
Bedrog,Opmeer,2015.0,2.9773
Bedrog,Opsterland,2015.0,3.5682
Bedrog,Oss,2015.0,1.6591
Bedrog,Oud-Beijerland,2015.0,2.3611
Bedrog,Ouder-Amstel,2015.0,1.9318
Bedrog,Ouderkerk,2015.0,1.0
Bedrog,Oudewater,2015.0,2.8636
Bedrog,Overbetuwe,2015.0,2.8409
Bedrog,Peel en Maas,2015.0,2.6136
Bedrog,Pekela,2015.0,2.5455
Bedrog,Pijnacker-Nootdorp,2015.0,2.5909
Bedrog,Putten,2015.0,2.5682
Bedrog,Raalte,2015.0,3.9773
Bedrog,Rheden,2015.0,2.0909
Bedrog,Rhenen,2015.0,2.25
