SoortMisdrijf,RegioS,Perioden,TotaalGeregistreerdeMisdrijven_1,GeregistreerdeMisdrijvenRelatief_2,GeregistreerdeMisdrijvenPer1000Inw_3,TotaalOpgehelderdeMisdrijven_4,OpgehelderdeMisdrijvenRelatief_5,RegistratiesVanVerdachten_6
"Misdrijven, totaal",'s-Gravenhage (gemeente),2010,58085.0,100.0,118.9,20115.0,34.6,24635.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2011,57020.0,100.0,115.2,19430.0,34.1,23915.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2012,53460.0,100.0,106.5,18375.0,34.4,22520.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2013,51410.0,100.0,101.6,18060.0,35.1,21790.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2014,49360.0,100.0,97.0,16735.0,33.9,19920.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2015,45920.0,100.0,89.2,14440.0,31.4,17170.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2016,43185.0,100.0,83.1,13480.0,31.2,15800.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2017,37965.0,100.0,72.3,12450.0,32.8,14490.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2018,34960.0,100.0,65.6,11305.0,32.3,13200.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2019,37315.0,100.0,69.4,11950.0,32.0,14015.0
"Misdrijven, totaal",'s-Gravenhage (gemeente),2020,37235.0,100.0,68.2,10260.0,27.6,13180.0
"Misdrijven, totaal",'s-Hertogenbosch,2010,14345.0,100.0,102.7,3435.0,23.9,4385.0
"Misdrijven, totaal",'s-Hertogenbosch,2011,13720.0,100.0,97.4,3280.0,23.9,4095.0
"Misdrijven, totaal",'s-Hertogenbosch,2012,12640.0,100.0,89.1,3160.0,25.0,3920.0
"Misdrijven, totaal",'s-Hertogenbosch,2013,12310.0,100.0,86.2,3250.0,26.4,3875.0
"Misdrijven, totaal",'s-Hertogenbosch,2014,11075.0,100.0,77.1,2970.0,26.8,3665.0
"Misdrijven, totaal",'s-Hertogenbosch,2015,11485.0,100.0,76.1,2805.0,24.4,3290.0
"Misdrijven, totaal",'s-Hertogenbosch,2016,10700.0,100.0,70.6,2575.0,24.0,2935.0
"Misdrijven, totaal",'s-Hertogenbosch,2017,9935.0,100.0,65.2,2340.0,23.6,2765.0
"Misdrijven, totaal",'s-Hertogenbosch,2018,8975.0,100.0,58.5,2285.0,25.4,2680.0
"Misdrijven, totaal",'s-Hertogenbosch,2019,9200.0,100.0,59.7,2620.0,28.5,3090.0
"Misdrijven, totaal",'s-Hertogenbosch,2020,8965.0,100.0,57.8,2235.0,24.9,2875.0
"Misdrijven, totaal",Aa en Hunze,2010,805.0,100.0,31.5,180.0,22.6,215.0
"Misdrijven, totaal",Aa en Hunze,2011,945.0,100.0,36.7,240.0,25.3,310.0
"Misdrijven, totaal",Aa en Hunze,2012,940.0,100.0,36.6,200.0,21.1,235.0
"Misdrijven, totaal",Aa en Hunze,2013,785.0,100.0,30.8,190.0,24.1,285.0
"Misdrijven, totaal",Aa en Hunze,2014,680.0,100.0,26.9,155.0,22.9,195.0
"Misdrijven, totaal",Aa en Hunze,2015,645.0,100.0,25.6,155.0,24.3,205.0
"Misdrijven, totaal",Aa en Hunze,2016,620.0,100.0,24.6,120.0,19.2,145.0
"Misdrijven, totaal",Aa en Hunze,2017,550.0,100.0,21.7,135.0,24.6,160.0
"Misdrijven, totaal",Aa en Hunze,2018,545.0,100.0,21.4,125.0,23.2,160.0
"Misdrijven, totaal",Aa en Hunze,2019,670.0,100.0,26.5,160.0,24.0,185.0
